 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.122400E+06    0.954376E-07    0.223171E-05    0.179283E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.126000E+06    0.955038E-07    0.223173E-05    0.179306E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.129600E+06    0.955531E-07    0.223174E-05    0.179325E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.133200E+06    0.955935E-07    0.223175E-05    0.179340E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.136800E+06    0.956285E-07    0.223176E-05    0.179353E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.140400E+06    0.956597E-07    0.223177E-05    0.179365E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.144000E+06    0.956860E-07    0.223176E-05    0.179376E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.147600E+06    0.957054E-07    0.223174E-05    0.179383E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.151200E+06    0.957142E-07    0.223172E-05    0.179385E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.154800E+06    0.957107E-07    0.223170E-05    0.179382E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.158400E+06    0.957030E-07    0.223169E-05    0.179378E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.162000E+06    0.956950E-07    0.223169E-05    0.179374E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.165600E+06    0.956866E-07    0.223167E-05    0.179371E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
