 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.306000E+06    0.968499E-07    0.223181E-05    0.179831E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.309600E+06    0.968743E-07    0.223182E-05    0.179842E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.313200E+06    0.968949E-07    0.223182E-05    0.179851E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.316800E+06    0.969120E-07    0.223182E-05    0.179857E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.320400E+06    0.969230E-07    0.223179E-05    0.179861E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.324000E+06    0.969243E-07    0.223176E-05    0.179860E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.327600E+06    0.969139E-07    0.223174E-05    0.179854E-06    0.513256E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.331200E+06    0.968991E-07    0.223174E-05    0.179848E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.334800E+06    0.968842E-07    0.223174E-05    0.179841E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.338400E+06    0.968692E-07    0.223172E-05    0.179835E-06    0.513272E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.342000E+06    0.968543E-07    0.223171E-05    0.179828E-06    0.513275E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.345600E+06    0.968395E-07    0.223169E-05    0.179821E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.349200E+06    0.968249E-07    0.223168E-05    0.179814E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.352800E+06    0.968102E-07    0.223167E-05    0.179808E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.356400E+06    0.967954E-07    0.223166E-05    0.179802E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.360000E+06    0.967808E-07    0.223165E-05    0.179795E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.363600E+06    0.967670E-07    0.223162E-05    0.179789E-06    0.513287E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.367200E+06    0.967769E-07    0.223162E-05    0.179795E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.370800E+06    0.968852E-07    0.223167E-05    0.179850E-06    0.513267E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.374400E+06    0.970377E-07    0.223174E-05    0.179917E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.378000E+06    0.971554E-07    0.223177E-05    0.179965E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.381600E+06    0.972321E-07    0.223178E-05    0.179994E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.385200E+06    0.972818E-07    0.223179E-05    0.180012E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.388800E+06    0.973161E-07    0.223180E-05    0.180025E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.392400E+06    0.973421E-07    0.223181E-05    0.180034E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.396000E+06    0.973627E-07    0.223183E-05    0.180043E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.399600E+06    0.973798E-07    0.223183E-05    0.180050E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.403200E+06    0.973931E-07    0.223182E-05    0.180055E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.406800E+06    0.974010E-07    0.223180E-05    0.180057E-06    0.513259E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.410400E+06    0.973990E-07    0.223177E-05    0.180056E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.414000E+06    0.973858E-07    0.223175E-05    0.180049E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.417600E+06    0.973685E-07    0.223175E-05    0.180041E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.421200E+06    0.973510E-07    0.223175E-05    0.180034E-06    0.513266E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.424800E+06    0.973333E-07    0.223173E-05    0.180026E-06    0.513270E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.428400E+06    0.973160E-07    0.223172E-05    0.180018E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.432000E+06    0.972985E-07    0.223171E-05    0.180011E-06    0.513275E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.435600E+06    0.972814E-07    0.223169E-05    0.180002E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.439200E+06    0.972642E-07    0.223168E-05    0.179994E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.442800E+06    0.972467E-07    0.223168E-05    0.179987E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.446400E+06    0.972297E-07    0.223167E-05    0.179980E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.450000E+06    0.972134E-07    0.223164E-05    0.179972E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.453600E+06    0.972207E-07    0.223163E-05    0.179978E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.457200E+06    0.973270E-07    0.223168E-05    0.180032E-06    0.513266E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.460800E+06    0.974774E-07    0.223174E-05    0.180098E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.464400E+06    0.975918E-07    0.223177E-05    0.180143E-06    0.513247E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.468000E+06    0.976650E-07    0.223179E-05    0.180170E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.471600E+06    0.977111E-07    0.223180E-05    0.180187E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.475200E+06    0.977419E-07    0.223181E-05    0.180199E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.478800E+06    0.977639E-07    0.223182E-05    0.180209E-06    0.513256E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.482400E+06    0.977810E-07    0.223183E-05    0.180217E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.486000E+06    0.977946E-07    0.223183E-05    0.180223E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.489600E+06    0.978047E-07    0.223182E-05    0.180227E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.493200E+06    0.978100E-07    0.223180E-05    0.180228E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.496800E+06    0.978059E-07    0.223177E-05    0.180225E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.500400E+06    0.977907E-07    0.223175E-05    0.180216E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.504000E+06    0.977710E-07    0.223176E-05    0.180208E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.507600E+06    0.977513E-07    0.223175E-05    0.180199E-06    0.513265E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.511200E+06    0.977312E-07    0.223174E-05    0.180192E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.514800E+06    0.977111E-07    0.223173E-05    0.180184E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.518400E+06    0.976911E-07    0.223172E-05    0.180176E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.522000E+06    0.976712E-07    0.223171E-05    0.180168E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.525600E+06    0.976518E-07    0.223170E-05    0.180159E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.529200E+06    0.976325E-07    0.223169E-05    0.180151E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.532800E+06    0.976133E-07    0.223169E-05    0.180142E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.536400E+06    0.975949E-07    0.223165E-05    0.180134E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.540000E+06    0.975998E-07    0.223164E-05    0.180138E-06    0.513275E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.543600E+06    0.977041E-07    0.223168E-05    0.180192E-06    0.513265E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.547200E+06    0.978522E-07    0.223174E-05    0.180258E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.550800E+06    0.979638E-07    0.223178E-05    0.180303E-06    0.513247E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.554400E+06    0.980339E-07    0.223179E-05    0.180328E-06    0.513247E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.558000E+06    0.980773E-07    0.223180E-05    0.180343E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.561600E+06    0.981056E-07    0.223181E-05    0.180353E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.565200E+06    0.981253E-07    0.223182E-05    0.180360E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.568800E+06    0.981395E-07    0.223183E-05    0.180367E-06    0.513259E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.572400E+06    0.981505E-07    0.223183E-05    0.180372E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.576000E+06    0.981579E-07    0.223182E-05    0.180375E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.579600E+06    0.981606E-07    0.223179E-05    0.180376E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.583200E+06    0.981542E-07    0.223177E-05    0.180373E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.586800E+06    0.981367E-07    0.223176E-05    0.180364E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.590400E+06    0.981149E-07    0.223176E-05    0.180356E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.594000E+06    0.980929E-07    0.223176E-05    0.180347E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.597600E+06    0.980710E-07    0.223175E-05    0.180338E-06    0.513267E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.601200E+06    0.980495E-07    0.223173E-05    0.180328E-06    0.513269E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.604800E+06    0.980279E-07    0.223172E-05    0.180319E-06    0.513270E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.608400E+06    0.980066E-07    0.223171E-05    0.180309E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.612000E+06    0.979853E-07    0.223171E-05    0.180300E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.615600E+06    0.979642E-07    0.223170E-05    0.180290E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.619200E+06    0.979432E-07    0.223170E-05    0.180281E-06    0.513270E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.622800E+06    0.979230E-07    0.223167E-05    0.180272E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.626400E+06    0.979257E-07    0.223165E-05    0.180276E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
